Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"M. Naveenkumar, A. Vadivel; ",OpenCV for Computer Vision Applications,"Proceedings of National Conference on Big Data and Cloud Computing (NCBDC’15), March 20, 2015",,,,2015,NIT Trichy
"Naveenkumar, M; Vadivel, A; ",3-D projected PCA based dmm feature fusing with SMO-SVM for human action recognition,Procedia Computer Science,89,,759-763,2016,Elsevier
"Naveenkumar, M; Sriharsha, KV; Vadivel, A; ",Moving object detection and tracking based on the contour extraction and centroid representation,"Encyclopedia of Information Science and Technology, Fourth Edition",,,212-219,2018,IGI Global Scientific Publishing
"Naveenkumar, M; Domnic, S; ",Vector Quantization based Pairwise Joint Distance Maps (VQ-PJDM) for 3D Action Recognition,"Procedia Computer Science,",133,,27-36,2018,
"Naveen kumar, M; Rajeswarappa, G; ",Intrusion Detection System Using Pipelining Approach,International Journal of Engineering Science Invention,3,7,46-50,,
"Guravaiah, Koppala; Reddy, B Ramakantha; Prakash, S Shiva; Naveenkumar, M; ",Team Work Evaluation Using Data Mining Techniques,Data Mining and Knowledge Engineering,,,626-630,2011,
"Naveenkumar, M; Domnic, S; ",Skeleton Joint Difference Maps for 3D Action Recognition with Convolutional Neural Networks,International Conference on Recent Trends in Image Processing and Pattern Recognition,,,144-150,2019,"Springer, Singapore"
"Naveenkumar, M; Domnic, S; ",Ensemble Spatio-Temporal Distance Net for Skeleton Based Action Recognition.,Scalable Comput. Pract. Exp.,20,3,485-494,2019,
"Naveenkumar, M; Domnic, S; ",Deep ensemble network using distance maps and body part features for skeleton based action recognition,Pattern Recognition,100,,107125,2020,Elsevier
"Naveenkumar, M; Domnic, S; ",Learning representations from quadrilateral based geometric features for skeleton-based action recognition using LSTM networks,Intelligent Decision Technologies,14,1,47-54,2020,IOS Press
"Naveenkumar, M; Domnic, S; ",Learning Representations from Spatio-Temporal Distance Maps for 3D Action Recognition with Convolutional Neural Networks,ADCAIJ: Advances in Distributed Computing and Artificial Intelligence Journal,8,2,5-18,2019,
"Naveenkumar, M; Domnic, S; ",Spatio temporal joint distance maps for skeleton-based action recognition using convolutional neural networks,International Journal of Image and Graphics,21,05,2140001,2021,World Scientific Publishing Company
"Inturi, Anitha Rani; Manikandan, Vazhora Malayil; Kumar, Mahamkali Naveen; Wang, Shuihua; Zhang, Yudong; ",Synergistic integration of skeletal kinematic features for vision-based fall detection,Sensors,23,14,6283,2023,MDPI
"Suryadevara, Thireesha; Rafi, Mudassir; Mahamkali, Naveenkumar; Nalamothu, Rushitha; ",A Comparative Study of 2D and 3D Convolutional Neural Networks for Melanoma Classification,2024 International Conference on Intelligent Computing and Emerging Communication Technologies (ICEC),,,1-7,2024,IEEE
"Pamidimukkala, Jaanaki Swaroop; Kosaraju, Divya Sri; Mahamkali, Naveenkumar; ",Comparative Study of ML Techniques for Classification of Crop Pests,2024 4th International Conference on Artificial Intelligence and Signal Processing (AISP),,,1-5,2024,IEEE
"Mahamkali, Naveenkumar; Mudigonda, Krishna Siva Prasad; ",An Ensemble Framework for Effective Detection and Classification of Cyber Attacks Using Machine Learning,AI Solutions for Detecting Cyber-Attacks in Information Systems,,,65-96,2026,IGI Global Scientific Publishing
"Suryadevara, Thireesha; Mahamkali, Naveenkumar; Rafi, Mudassir; ",LHW-Net: An ensemble-based machine learning framework for brain tumor classification,PloS one,21,4,e0346821,2026,"Public Library of Science San Francisco, CA USA"
"Kalluri, Hemantha Kumar; Mahamkali, Naveenkumar; ",Convolutional neural network-based plant leaf disease classification: Implications for society and agriculture,Intersection of Machine Learning and Computational Social Sciences,,,96-114,2026,CRC Press
"Sowkuntla, Pandu; Mahamkali, Naveenkumar; ",Feature selection in DNA microarray data: Insights for healthcare and social science applications through machine learning,Intersection of Machine Learning and Computational Social Sciences,,,182-220,2026,CRC Press
"Mutupuri, Shiva Shankar; Mahamkali, Naveenkumar; Anamalamudi, Satish; ",Classifying the social world: Algorithms and applications in computational social science,Intersection of Machine Learning and Computational Social Sciences,,,115-140,2026,CRC Press
"Chihnitha, Bommasani; Malladi, Varshitha; Alluri, Gayathri Vijayalakshmi; Mangalagiri, Lakshman Sai; Mahamkali, Naveenkumar; ",Deep Feature Extraction and PCA–Relief Optimization for Multi-Class Brain Tumor Classification,2026 1st International Conference on Emerging Trends in Advancements and Applications of Computational Intelligence Techniques (ETAACT),,,1-6,2026,IEEE
"Tejash, Tarun; Jha, Ankit; Mahamkali, Naveenkumar; ",Efficient Fall Detection Using Lightweight Geometric Features and Gradient Boosting Classifiers,2026 1st International Conference on Emerging Trends in Advancements and Applications of Computational Intelligence Techniques (ETAACT),,,1-5,2026,IEEE
"Salih, Amer; Zhang, Qian; Raschella, Alessandro; Mohammed, Ahmed; Abdullah, Badr; Aldhaibani, Omar; Maheshwari, Mukesh Kumar; Qiu, Yongqiang; Sekey, Patrick Wah; Munyao, Oscar Kiamba; ",ETAACT 2026,,,,,,
